group,run,mismatches,actuator_checks,torn_reads,coherence_checks,deadlock,pass
a,1,22,19998,20,9980,0,0
a,2,7,19998,5,9980,0,0
a,3,10,19998,8,9980,0,0
a,4,7,19998,4,9980,0,0
a,5,4,19998,4,9980,0,0
a,6,8,19998,6,9980,0,0
a,7,10,19998,9,9980,0,0
a,8,3,19998,3,9980,0,0
a,9,16,19998,12,9980,0,0
a,10,32,19998,18,9980,0,0
a,11,19,19998,14,9980,0,0
a,12,10,19998,8,9980,0,0
a,13,10,19998,9,9980,0,0
a,14,6,19998,4,9980,0,0
a,15,6,19998,5,9980,0,0
a,16,17,19998,15,9980,0,0
a,17,6,19993,4,9980,0,0
a,18,14,19998,13,9980,0,0
a,19,3,19998,3,9980,0,0
a,20,2,19998,2,9980,0,0
a,21,3,19998,3,9980,0,0
a,22,19,19998,15,9980,0,0
a,23,7,19956,6,9980,0,0
a,24,9,19998,7,9980,0,0
a,25,14,19997,9,9980,0,0
a,26,16,19998,13,9980,0,0
a,27,14,19998,12,9980,0,0
a,28,13,19998,9,9980,0,0
a,29,34,19998,22,9980,0,0
a,30,5,19998,4,9980,0,0
b,1,0,19998,0,9980,0,1
b,2,0,19998,0,9980,0,1
b,3,0,19998,0,9980,0,1
b,4,0,19998,0,9980,0,1
b,5,0,19998,0,9980,0,1
b,6,0,19998,0,9980,0,1
b,7,0,19975,0,9980,0,1
b,8,0,19998,0,9980,0,1
b,9,0,19998,0,9980,0,1
b,10,1,19998,0,9980,0,0
b,11,0,19998,0,9980,0,1
b,12,0,19998,0,9980,0,1
b,13,0,19998,0,9980,0,1
b,14,0,19998,0,9980,0,1
b,15,0,19997,0,9980,0,1
b,16,0,19999,0,9980,0,1
b,17,0,19999,0,9980,0,1
b,18,0,19998,0,9980,0,1
b,19,0,19998,0,9980,0,1
b,20,0,19998,0,9980,0,1
b,21,0,19999,0,9980,0,1
b,22,0,19998,0,9980,0,1
b,23,0,19998,0,9980,0,1
b,24,0,19998,0,9980,0,1
b,25,0,19998,0,9980,0,1
b,26,0,19999,0,9980,0,1
b,27,0,19998,0,9980,0,1
b,28,0,19998,0,9980,0,1
b,29,0,19998,0,9980,0,1
b,30,0,19998,0,9980,0,1
